k,type,score,label
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.261473,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.070587,1
2,Kmeans,0.279614,0
2,Kmeans,0.137108,1
2,Kmeans,0.250456,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.402233,1
2,Kmeans,0.402233,1
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.402233,1
2,Kmeans,0.279614,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.548754,0
2,Kmeans,0.261473,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.250456,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.402233,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.250456,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.137108,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.250456,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.137108,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.261473,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.261473,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.137108,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.250456,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.261473,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.261473,0
2,Kmeans,0.137108,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.250456,1
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.402233,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.250456,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.118811,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.250456,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.261473,0
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.279614,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.402233,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.402233,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.250456,1
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.250456,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.548754,0
2,Kmeans,0.112808,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.137108,1
2,Kmeans,0.82048,1
2,Kmeans,0.279614,0
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
2,Kmeans,0.279614,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.82048,1
2,Kmeans,0.261473,0
2,Kmeans,0.279614,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.112808,0
2,Kmeans,0.373085,1
2,Kmeans,0.279614,0
2,Kmeans,0.548754,0
2,Kmeans,0.672628,0
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.373085,1
2,Kmeans,0.672628,0
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.82048,1
2,Kmeans,0.548754,0
2,Kmeans,0.548754,0
2,Kmeans,0.82048,1
2,Kmeans,0.672628,0
